Course,Credits,Semester_Number
ECON 102|| 104*#,3.0,1
ECON 102|| 104*#,3.0,2
ENGL 15||  30H||||ESL  15 (GWS)‡,3.0,1
General Education Course (GQ)‡,3.0,2
General Education Course (First Year Seminar),3.0,1
General Education Course (IL||US Cultures),3.0,2
General Education Course (GQ)‡,3.0,1
General Education Course (Inter-Domain),3.0,2
World Language Level 1,4.0,1
World Language Level 2,4.0,2
ECON 302|| 304*,3.0,3
ECON 302|| 304*,3.0,4
CAS 100A||  100B|||| 100C (GWS)‡,3.0,3
300 Level ECON Course*,3.0,4
ECON 106*,3.0,3
General Education Course (Inter-Domain),3.0,4
General Education Course (IL||US Cultures),3.0,3
General Education Course,3.0,4
World Language Level 3,4.0,3
General Education Course,3.0,4
300/400 Level ECON Course*,3.0,5
300/400 Level ECON Course*,3.0,6
ECON 306*,3.0,5
400 Level ECON Course*,3.0,6
General Education Course (Writing Across the Curriculum),3.0,5
BA Requirement: World Cultures,3.0,6
BA Requirement: Arts|| Humanities|| Social Sciences|| Natural Sciences|| Quantification||World Language,3.0,5
BA Requirement: Arts|| Humanities|| Social Sciences|| Natural Sciences|| Quantification||World Language,3.0,6
Elective,3.0,5
Elective,3.0,6
400 Level ECON Course*,3.0,7
400 Level ECON Course*,3.0,8
ENGL 202A||  202B||  202C|||| 202D (GWS)‡,3.0,7
BA Requirement: Arts|| Humanities|| Social Sciences|| Natural Sciences|| Quantification||||World Language,3.0,8
General Education Course,3.0,7
General Education Course (GHW),1.5,8
General Education Course (GHW),1.5,7
Elective,3.0,8
Elective,3.0,7
Elective,3.0,8
