Course,Credits,Semester_Number
BIOL 161*#† 1,3,1
BIOL 163*#† 1,3,2
BIOL 162*#† 1,1,1
BIOL 164*†,1,2
ENGL 15|| 30H‡,3,1
HDFS 129*†,3,2
PSYCH 100*†,3,1
NUTR 251*†,3,2
NURS 100 (or other First Year Seminar - as required by campus)2,1,1
CAS 100A||  100B|||| 100C‡,3,2
General Education Course (GH),3,1
General Education Course (GQ)‡3,3,2
CHEM 130|| 110&& 111*3,3-4,3
SOC 1|| 5*,3,4
MICRB 106*†,3,3
STAT 200|| 250*‡†,3-4,4
MICRB 107*†,1,3
NURS 225*,3,4
NURS 250*,2,3
NURS 230*,4,4
NURS 251*,3,3
Integrative Studies Interdomain Course,3,4
NURS 305*,3,5
NURS 200W*,3,6
NURS 301*,4,5
NURS 302*,1,6
NURS 310*,3,5
NURS 306*,3,6
NURS 350*,2,5
NURS 320*,3,6
Integrative Studies Interdomain Course,3,5
ENGL 202A||  202B||  202C|||| 202D‡,3,6
NURS 405A*,4,7
NURS 450B*,3,8
NURS 450A*,2,7
NURS 405B*,4,8
NURS 415*,4,7
NURS 420*,4,8
Elective,3,7
NURS 480*,2,8
