Course,Credits,Semester_Number
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H‡,3.0,1
1-100 level PHIL Course,3.0,2
First Year Seminar,3.0,1
General Education Course,3.0,2
World Language Level 1,4.0,1
General Education Course,3.0,2
1-100 level PHIL Course,3.0,1
World Language Level 2,4.0,2
General Education Quantification Course‡,3.0,1
General Education Quantification Course‡,3.0,2
CAS 100|| ENGL  138T||||CAS  138T‡,3.0,3
PHIL 12*,3.0,4
Concentration Course*,3.0,3
Concentration Course*,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
World Language Level 3,4.0,3
General Education Course,3.0,4
General Education Course,3.0,3
BA Knowledge Domain Course,3.0,4
Concentration Course*,3.0,5
Concentration Course*,3.0,6
General Education Course,3.0,5
ENGL 202A||  202B||  202C|||| 202D‡,3.0,6
BA Knowledge Domain Course,3.0,5
General Education Course,3.0,6
Elective,3.0,5
Elective,3.0,6
Elective,3.0,5
Elective,3.0,6
Concentration Course*,3.0,7
Concentration Course*,3.0,8
Concentration Course,3.0,7
Elective,3.0,8
BA World Cultures,3.0,7
Elective,3.0,8
BA Knowledge Domain Course,3.0,7
Elective,3.0,8
General Education Health&&Wellness (GHW),1.5,7
General Education Health&&Wellness (GHW),1.5,8
