Course,Credits,Semester_Number
General Education (GWS)‡,3.0,1
CRIM/SOC 12*,3.0,2
CRIM 100*,3.0,1
General Education (GWS)‡,3.0,2
World Language level 1,4.0,1
STAT 200 (GQ)*‡†,4.0,2
General Education Quantification (GQ)‡,3.0,1
World Language level 2,4.0,2
General Education||First-Year Seminar,3.0,1
General Education Course,3.0,2
SOC 1||  3|||| 5*,3.0,3
Race|| Ethnicity||&&Gender Course from List*,3.0,4
World Language Level 3,4.0,3
CRIM 250W*,3.0,4
CRIM 249*,3.0,3
General Education Course,3.0,4
General Education Course,3.0,3
BA Fields,3.0,4
Elective,3.0,3
Elective,3.0,4
CAS 283|| CMPSC  100||||CMPSC  101*,3.0,5
4XX Level Course from List*,3.0,6
4XX Level Course from List*,3.0,5
Race|| Ethnicity||&&Gender Course from List*,3.0,6
General Education Course,3.0,5
General Education Course,3.0,6
General Education Course,3.0,5
BA Fields,3.0,6
Elective,3.0,5
Elective,3.0,6
4XX-Level CRIM Core Course from List*,3.0,7
4XX-Level CRIM Core Course from List*,3.0,8
General Education Course (GWS)‡,3.0,7
BA Fields,3.0,8
General Education Course,3.0,7
General Education Course,3.0,8
BA World Cultures Course,3.0,7
General Education Course (GHW),1.5,8
General Education Course (GHW),1.5,7
Elective,3.0,8
