Course,Credits,Semester_Number
PHYS 211*#,4,1
PHYS 212*#,4,2
MATH 140*‡#†,4,1
MATH 141*‡#†,4,2
CHEM 110*‡#†,3,1
CHEM 112†,3,2
CHEM 111†,1,1
ENGL 15||  30H||||ESL  15‡,3,2
PHYS 213& PHYS 214*,4,3
PHYS 237*,3,4
MATH 230*,4,3
MATH 251*,4,4
MATH 220,2,3
General Education Course,3,4
General Education Course,3,3
CMPSC 101||  121||  131||  200||  201|||| 204,3,4
General Education Course (GHW),1.5,3
CAS 100A||  100B|||| 100C‡,3,4
PHYS 400*,4,5
PHYS 410*,4,6
PHYS 419|| 402*,3-4,5
PHYS 419|| 458*,3-4,6
MATH 400 level selection (consult with an academic adviser for options)1,3,5
MATH 400 level selection (consult with an academic adviser for options)1,3,6
General Education Course,3,5
General Education Course,3,6
PHYS 444*,2,5
General Education Course,3,6
PHYS 400 level selection (consult with an academic adviser for options),3,7
PHYS 400 level selection (consult with an academic adviser for options),3,8
PHYS 420|| 457W2,3-4,7
PHYS 420|| 457W2,3-4,8
General Education Course,3,7
Supporting Course (consult with an academic adviser for options),3,8
ENGL 202C‡,3,7
Supporting Course (consult with an academic adviser for options),3,8
Elective2,3,7
General Education Course (GHW),1.5,8
