Course,Credits,Semester_Number
PSU 6,1,1
MGMT 3011||2,3,2
MATH 1401||2,4,1
MATH 1411||2,4,2
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H1||2,3,1
World Language - Level Three (12th credit level)3,4,2
ECON 102 (GS)2,3,1
SCM 200||STAT  2001||2,4,2
MKTG 3011||2,3,3
FIN 3011||2,3,4
ACCTG 2111||2,4,3
STAT/MATH 4141,3,4
ECON 104,3,3
CAS 100|| ENGL  138T||||CAS  138T1,3,4
MATH 2311,2,3
MIS 250,3,4
General Education Course,3,3
General Education Course,3,4
RM 320W1,3,5
RM 4211,3,6
RM 4101,3,5
STAT 380||  462|||| 483,3,6
BLAW 341||BA  342,3,5
BA 342||BLAW  341,3,6
STAT/MATH 4151,3,5
General Education Course,3,6
ENGL 202D1,3,5
General Education Course,3,6
RM 4111,3,7
General Education Course,3,8
RM 4301,3,7
General Education Course,3,8
General Education Course,3,7
RM 412|| 4221,3,8
BA 411 (or General Education Course),3,7
BA 411 (or General Education Course),3,8
General Education Course,3,7
Elective,3,8
