Course,Credits,Semester_Number
MATH 140 (GQ)*‡#,4.0,1
MATH 141 (GQ)*#,4.0,2
CMPSC 131*#,3.0,1
CMPSC 132*#,3.0,2
ENGL 15 (GWS)‡,3.0,1
DS 200*#,4.0,2
General Education Course,3.0,1
General Education Course,3.0,2
PSU 17,1.0,1
General Education Course,3.0,2
DS 220*,3.0,3
IST 230|| CMPSC  360||||MATH  311W*,3.0,4
MATH 220*,2.0,3
STAT/MATH 318||  414|||| 418*,3.0,4
CAS 100 (GWS)‡,3.0,3
ENGL 202 (GWS)‡,3.0,4
STAT 184,2.0,3
General Education Course,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
General Education Course,3.0,3
,,4
DS 300*,3.0,5
DS 310*,3.0,6
DS 305*,3.0,5
DS 330*,3.0,6
DS 320*,3.0,5
DS 410*,3.0,6
STAT 380*,3.0,5
Application Focus Selection,3.0,6
Application Focus Selection,3.0,5
General Education Course,3.0,6
DS 340W*,3.0,7
DS 440|| 440W*,3.0,8
DS 442|| IST  442|| SODA  308|| IST  445|| DS  420|| DS  441|| DS  402||||IST  494,3.0,7
DS 442|| IST  442|| SODA  308|| IST  445|| DS  420|| DS  441|| DS  402||||IST  494,3.0,8
DS 435*,3.0,7
Application Focus Selection (300-||400-level),3.0,8
Application Focus Selection (300-||400-level),3.0,7
General Education Course,3.0,8
General Education Course,3.0,7
Elective,3.0,8
