Course,Credits,Semester_Number
BIOL 110†,4,1
CHEM 110†,3,2
AG 150,2,1
CHEM 111†,1,2
ENGL 15||  30H||||ESL  15‡†,3,1
AGECO 295,1,2
MATH 22||  26|| MATH 40|| MATH  41|| MATH  110||||MATH  140‡†,3-5,1
SOILS 101*†,3,2
AGRO 28||HORT  101*,3,1
SOILS 102,1,2
PLANT 200,3,3
ENT 313,2,4
ENGL 202C|| 202D‡†,3,3
ENT 314|| 316,1,4
AGBM 101|| ECON  14|| ECON  102||||ECON  104†,3,3
SOILS 402,3,4
STAT 200||  240|||| 250‡†,3-4,3
General Education Course,3,4
AGECO 122|| AGECO 134|| AGECO  144|| AGECO  154||||AGECO  496 (Agroecology Selection),3,3
AG 160|| GEOG  30N|| PHIL  13|| PHIL  103||||PHIL  132 (Ethics Selection),3,4
AGECO 457*,3,5
SOILS 401,3,6
PPEM 405,3,5
AGRO 423||  425|| HORT  202|| HORT  315|| HORT  431|| HORT  432|| HORT  433||||SOILS  418 (Production Selection),3,6
BIOL 222||HORT  407 (Plant Breeding/Genetics Seletion),3,5
Supporting Course,3,6
AGRO 423||  425|| HORT  202|| HORT  315|| HORT  431|| HORT  432|| HORT  433||||SOILS  418 (Production Selection),3,5
Supporting Course,3,6
Supporting Course,3,5
General Education Course,3,6
AGECO 438,4,7
PLANT 461*,3,8
AGECO 495,1,7
Supporting Course,3,8
Supporting Course,3,7
Supporting Course,3,8
AGRO 410W|| HORT  412W||||SOILS  412W (Writing Across the Curriculum),3-4,7
General Education Course,3,8
General Education Course,3,7
Elective,4,8
