Course,Credits,Semester_Number
MATH 140|| 140G‡†,4.0,1
MATH 141|| 141G‡†,4.0,2
CHEM 110 (GN)†,3.0,1
CHEM 112,3.0,2
CHEM 111 (GN)†,1.0,1
CHEM 113,1.0,2
EMSC 100S (GWS)‡†1,3.0,1
ENGL 15||  30H||||ESL  15 (GWS)‡†,3.0,2
Intro GEOSC/EARTH elective2,3.0,1
Intro GEOSC/EARTH elective2,3.0,2
PHYS 211 (GN)†,4.0,3
PHYS 212,4.0,4
BIOL 110 (GN)†,4.0,3
Intro GEOSC/EARTH elective2,3.0,4
General Education knowledge domain,3.0,3
General Education knowledge domain,3.0,4
General Education knowledge domain,3.0,3
Minor course*5,3.0,4
Supporting Course3,3.0,3
Advanced EARTH elective*4,3.0,4
Advanced EARTH elective*4,3.0,5
Advanced GEOSC/EARTH elective*4,3.0,6
Intro GEOSC/EARTH elective2,3.0,5
Intro GEOSC/EARTH elective2,3.0,6
Supporting Course3,2.0,5
Minor Course*5,3.0,6
Minor course*5,3.0,5
General Education knowledge domain,3.0,6
General Education knowledge domain,3.0,5
Supporting Course3,3.0,6
Advanced EARTH elective*4,3.0,7
Advanced EARTH elective*4,3.0,8
General Education Foundation selection (GWS)‡,3.0,7
EARTH Field/lab experience,3.0,8
Minor Course*5,3.0,7
Writing across the curriculum course in EMS,3.0,8
General Education knowledge domain,3.0,7
Minor Course*5,3.0,8
General Education Health&&Wellness (GHW),1.5,7
Minor Course*5,3.0,8
