Course,Credits,Semester_Number
MATH 110|| 140 (GQ)*‡†,4,1
STAT 200 (GQ)*‡†,4,2
SOC 1*,3,1
SOC Lower-Level Course*,3,2
General Education Course (GWS)‡,3,1
General Education Course (GWS)‡,3,2
General Education Course,3,1
General Education Course,3,2
Elective,3,1
Elective,3,2
CMPSC 101||  121|||| 131*,3,3
SOC 470*,4,4
SOC 207*,3,3
SOC Lower-Level Course*,3,4
SOC Lower-Level Course*,3,3
General Education Course,3,4
Pathway Course*,3,3
General Education Course,3,4
General Education Course,3,3
Elective,3,4
STAT 184*,2,5
SOC 405*,3,6
SOC 400-Level Course*,3,5
Pathway Course*,3,6
Pathway Course*,3,5
General Education Course,3,6
General Education Course,3,5
General Education Health&&Wellness (GHW),1.5,6
General Education Course,3,5
Elective,3,6
SOC 400W*,3,7
SOC 400-Level Course*,3,8
SOC 400-Level Course*,3,7
Pathway Course*,3,8
Pathway Course*,3,7
General Education Course (GWS)‡,3,8
General Education Course,3,7
Elective,3,8
Elective,3,7
Elective,2-3,8
