Course,Credits,Semester_Number
COMM 160*,1.0,1
General Education Course (GN),3.0,2
COMM 271*,3.0,1
General Education Course (GH),3.0,2
ENGL 15|| 30H‡,3.0,1
General Education Course (GS),3.0,2
General Education Course (GN),3.0,1
General Education Course (Inter-Domain),3.0,2
World Language,4.0,1
World Language,4.0,2
COMM 260W*1,3.0,3
COMM 360*2,3.0,4
General Education Course (Inter-Domain),3.0,3
Minor Course*,3.0,4
General Education Course (Exploration),3.0,3
General Education Course (GQ)‡,3.0,4
World Cultures,3.0,3
General Education Course (GA),3.0,4
World Language,4.0,3
BA Knowledge Domain (US Cultures),3.0,4
COMM 465*,3.0,5
COMM 180||  205||  401||  405||  410||  411||  412||  419||  496|||| 499*,3.0,6
COMM 403|| 409*,3.0,5
Minor Course*,3.0,6
Minor Course*,3.0,5
CAS 100A||  100B|||| 100C‡,3.0,6
General Education Course (GQ)‡,3.0,5
General Education Course (Exploration),3.0,6
BA Knowledge Domain (IL Cultures),3.0,5
BA Knowledge Domain,3.0,6
COMM 403|| 409*,3.0,7
COMM 362||  364||  400||  402||  466||  480||  481|||| 495*,3.0,8
COMM 362||  364||  400||  402||  466||  480||  481|||| 495*,3.0,7
COMM 180||  205||  401||  405||  410||  411||  412||  419||  496|||| 499*,3.0,8
Minor Course*,3.0,7
Minor Course*,3.0,8
ENGL 202A||  202B||  202C|||| 202D‡,3.0,7
Minor Course*,3.0,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
