Course,Credits,Semester_Number
ENGL 15||  30H|||| 137H‡,3.0,1
Concentration Course*,3.0,2
World Language Level 1,4.0,1
CAS 100|| ENGL  138T||||CAS  138T‡,3.0,2
General Education Course (GQ)‡,3.0,1
General Education Course†,3.0,2
General Education Course†,3.0,1
World Language Level 2,4.0,2
Elective,3.0,1
General Education Course†,3.0,2
ENGL 200|| 201*,3.0,3
Concentration Course*,3.0,4
Concentration Course*,3.0,3
Elective,3.0,4
World Language Level 3,4.0,3
General Education Course†,3.0,4
General Education Course (GQ)‡,3.0,3
General Education Course†,3.0,4
General Education Course†,3.0,3
BA Requirement,3.0,4
Concentration Course*,3.0,5
ENGL 4XX*,3.0,6
ENGL 4XX*,3.0,5
Concentration Course*,3.0,6
General Education Course,3.0,5
ENGL 202A||  202B||  202C|||| 202D‡,3.0,6
BA Requirement,3.0,5
General Education Course,3.0,6
Elective,3.0,5
Elective,3.0,6
ENGL 4XX*,3.0,7
ENGL 4XX*,3.0,8
Concentration Course*,3.0,7
ENGL 487W*,3.0,8
BA World Cultures,3.0,7
General Education Course (GHW),1.5,8
BA Requirement,3.0,7
General Education Course†,3.0,8
General Education Course (GHW),1.5,7
Elective,3.0,8
