Course,Credits,Semester_Number
ANTH 2N||  45N|||| 21*,3.0,1
ANTH 2N||  45N|||| 21*,3.0,2
General Education Course (GWS)‡,3.0,1
General Education Course (GWS)‡,3.0,2
General Education Course||First-Year Seminar,3.0,1
General Education Course (GQ)‡,3.0,2
General Education Course,3.0,1
General Education Course,3.0,2
General Education Course,3.0,1
Elective,3.0,2
ANTH 2N||  45N|||| 21*,3.0,3
ANTH Survey Course (200-Level&&Below)*,3.0,4
ANTH Survey Course (200-Level&&Below)*,3.0,3
Supporting Course (Archaeological)*1,3.0,4
Supporting Course (Archaeolgical)*1,3.0,3
General Education Course (GWS)‡,3.0,4
STAT 200 (GQ)*‡†,4.0,3
General Education Course,3.0,4
General Education Course,3.0,3
Elective,3.0,4
ANTH Methods Course (ANTH 426W||ANTH 427W)*2,3.0,5
ANTH Methods Course*2,3.0,6
Supporting Course (Archaeological)*1,3.0,5
ANTH (400-Level Archaeological Science Course)*,3.0,6
ANTH (400-Level Archaeological Science Course)*,3.0,5
ANTH (400-Level Biological Anthropology||Human Ecology Course)*,3.0,6
General Education Course,3.0,5
General Education Course,3.0,6
Elective,3.0,5
Elective,3.0,6
ANTH Methods Course*2,3.0,7
ANTH (400-Level Archaeological Science Course)*,3.0,8
ANTH (400-Level Archaeological Science Course)*,3.0,7
ANTH (400-Level Biological Anthropology||Human Ecology Course)*,3.0,8
Supporting Course (Archaeological)*1,3.0,7
Supporting Course (Archaeological)*1,3.0,8
General Education Course,3.0,7
General Education Course (GHW),1.5,8
General Education Course (GHW),1.5,7
Elective,3.0,8
