Course,Credits,Semester_Number
ART 11 (First Year Seminar)*,1,1
ART 111*,3,2
ART 110*,3,1
ART 122Y (W; US)*,3,2
ARTH 111 (GA; IL)*†,3,1
ARTH 112 (GA; IL)*†,3,2
ENGL 15||  15A|||| 30H (GWS)‡,3,1
Foreign Language,4,2
General Education Course,3,1
General Education Course (GQ)‡,3,2
Additional Course for Major (see list)*1,3,3
Additional Course for Major (see list)*1,3,4
Additional Course for Major (see list)*1,3,3
Additional Course for Major (see list)*1,3,4
Foreign Language,4,3
General Education Course,3,4
General Education Course (GQ)‡,3,3
General Education Course,3,4
Supporting Course from Art History*2,3,3
General Education Course,3,4
CAS 100A||  100B|||| 100C (GWS)‡,3,5
ENGL 202A||  202B||  202C|||| 202D (GWS)‡,3,6
Additional Course for Major (see list)*1,3,5
General Education Course,3,6
BA Knowledge Domain Course,3,5
Supporting Course for Concentration*2,4,6
General Education Course,3,5
Supporting Course for Concentration*2,3,6
BA Knowledge Domain,3,7
Elective Course,2,8
General Education Course,3,7
Elective Course,3,8
General Education Course,3,7
BA Knowledge Domain Course,3,8
World Cultures Course,3,7
Supporting Course for Concentration*2,4,8
