Course,Credits,Semester_Number
SPAN 11,4.0,1
SPAN 2,4.0,2
ENGL 15||  30H||  137H|| CAS  137H||||ESL  15 (GWS)‡,3.0,1
CAS 100A||  100B||  100C||  138T||||ENGL  138T (GWS)‡,3.0,2
General Education Course (GQ)‡,3.0,1
General Education Course (N),3.0,2
General Education Course (N),3.0,1
General Education Course,3.0,2
General Education Course,3.0,1
BA Requirements,3.0,2
SPAN 3,4.0,3
SPAN 100||  100A||  100B||||SPAN 100C*,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
General Education Course (GQ)‡,3.0,3
General Education Course,3.0,4
General Education Course (GHW),1.5,3
BA Requirements,3.0,4
BA Requirements,3.0,3
Elective (US),3.0,4
SPAN 200|| 200A*,3.0,5
SPAN 253W*,3.0,6
SPAN 215*,3.0,5
200-||300- level course in SPAN|| in consultation with major adviser*,3.0,6
General Education Course,3.0,5
200-||300- level course in SPAN|| in consultation with major adviser*,3.0,6
General Education Course,3.0,5
Elective,3.0,6
Elective,3.0,5
Elective,3.0,6
ENGL 202B (GWS)‡,3.0,7
400-level SPAN|| in consultation with major adviser*,3.0,8
General Education Course (GHW),1.5,7
400-level SPAN|| in consultation with major adviser*,3.0,8
200-||300- level course in SPAN|| in consultation with major adviser*,3.0,7
400-level SPAN|| in consultation with major adviser*,3.0,8
400-level SPAN literature|| in consultation with major adviser*,3.0,7
BA World Cultures2,3.0,8
400-level SPAN linguistics|| in consultation with major adviser*,3.0,7
Elective,3.0,8
