Course,Credits,Semester_Number
First-Year Seminar,1,1
MICRB 201*1,3,2
CHEM 110 (GN)*#†,3,1
MICRB 202|| 203,2,2
CHEM 111 (GN)*#†,1,1
CHEM 112 (GN)*#†,3,2
MATH 140 (GQ)*‡#†,4,1
CHEM 113 (GN)†,1,2
ENGL 15|| 30H (GWS)‡,3,1
MATH 141|| STAT  200|| STAT  240||||STAT  250 (GQ)‡†8,3-4,2
General Education Course,3,1
CAS 100A||  100B|||| 100C (GWS)‡,3,2
BMB/MICRB 251*1||3||4,3,3
BMB/MICRB 252*1||3,3,4
CHEM 210,3,3
CHEM 212,3,4
PHYS 211|| 250 (GN)†,4,3
CHEM 213W,2,4
Department List C9,3,3
PHYS 212|| 251 (GN),4,4
General Education Course,3,3
BIOL 3223||4,3,4
BMB 400*2,2,5
BMB 402*2,3,6
BMB 401*2,3,5
BMB 442,3,6
MICRB 401*2,3,5
MICRB 415*2||4,3,6
MICRB 421W,3,5
MICRB Elective (List A)4||5||9,3,6
General Education Course,3,5
General Education Course,3,6
General Education Course (GHW),1.5,5
General Education Course (GHW),1.5,6
MICRB 450*2,3,7
MICRB Elective (List B)5||6||7||9,0-3,8
PPEM 456*2,3,7
Department List C9,2,8
MICRB Elective (List B)5||9,3,7
Department List C9,3,8
MICRB Elective (List B)5||9,3,7
General Education Course (GWS)‡†4||6,3,8
Department List C9,3,7
General Education Course,3,8
