Course,Credits,Semester_Number
ASIA 3||  100|| ASIA 100Z|| ASIA  101N|| ASIA  102|| ASIA  103|| ASIA  104|| ASIA  105|| ASIA  106N||||ASIA  197*,3.0,1
ASIA 3||  100|| ASIA 100Z|| ASIA  101N|| ASIA  102|| ASIA  103|| ASIA  104|| ASIA  105|| ASIA  106N||||ASIA  197*,3.0,2
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H‡,3.0,1
CAS 100|| ENGL  138T||||CAS  138T,3.0,2
Asian Language Level 1,4.0,1
Asian Language Level 2,4.0,2
General Education Course,3.0,1
General Education Course,3.0,2
First-Year Seminar,3.0,1
General Education Course (GQ)‡,3.0,2
Major Course from Supporting Courses&&Related Areas List*,3.0,3
Asian Language Level 110*,4.0,4
Asian Language Level 3,4.0,3
General Education Course,3.0,4
General Education Course (GQ)‡,3.0,3
General Education Course,3.0,4
General Education Course,3.0,3
US Cultures Course,3.0,4
BA Knowledge Domain Course,3.0,3
BA Knowledge Domain Course,3.0,4
ASIA 405Y*,3.0,5
Asian Language Level 402,4.0,6
General Education Course,3.0,5
4XX Level Major Course from Supporting Courses&&Related Areas List*,3.0,6
General Education Course,3.0,5
ENGL 202B‡,3.0,6
BA Knowledge Domains Course,3.0,5
General Education Course,3.0,6
Asian Language Level 401,4.0,5
Elective,3.0,6
4XX Level Major Course from Supporting Courses&&Related Areas List*,3.0,7
Asian Language Level 404,4.0,8
Asian Language Level 403,4.0,7
4XX Level Major Course from Supporting Courses&&Related Areas List*,3.0,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
Elective,3.0,7
Elective,3.0,8
Elective,3.0,7
Elective,2.0,8
