Course,Credits,Semester_Number
CHNS 1*,4.0,1
CHNS 2*,4.0,2
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H‡,3.0,1
CAS 100|| ENGL  138T||||CAS  138T‡,3.0,2
General Education Course,3.0,1
Any Level China-Related Course from Supporting Course&&Related Areas List*,3.0,2
General Education Course,3.0,1
General Education Course (GQ)‡,3.0,2
First-Year Seminar,3.0,1
General Education Course,3.0,2
CHNS 3*,4.0,3
CHNS 110*,4.0,4
CHNS 120|| 121N*,3.0,3
General Education Course,3.0,4
General Education Course (GQ)‡,3.0,3
General Education Course,3.0,4
General Education Course,3.0,3
US Cultures,3.0,4
BA Knowledge Domain Course,3.0,3
BA Knowledge Domain Course,3.0,4
CHNS 401*,4.0,5
CHNS 402,4.0,6
General Education Course,3.0,5
CHNS 415||  416||  417||  418|||| 419*,3.0,6
General Education Course,3.0,5
ENGL 202B‡,3.0,6
BA Knowledge Domain Course,3.0,5
General Education Course,3.0,6
Elective,3.0,5
Elective,3.0,6
CHNS 403W,4.0,7
CHNS 404*,4.0,8
CHNS 452||  453||  454||||CHNS 455,3.0,7
Any Level China-Related Course from Supporting Course&&Related Areas List*,3.0,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
Elective,3.0,7
Elective,3.0,8
Elective,3.0,7
Elective,2.0,8
