Course,Credits,Semester_Number
BIOL 110 (GN)*#†,4,1
BIOL 230W*#,4,2
CHEM 110 (GN)*#†,3,1
CHEM 112 (GN)*#†,3,2
CHEM 111 (GN)*#†,1,1
CHEM 113 (GN)*#†,1,2
ENGL 15||  30H||||ESL  15 (GWS)‡,3,1
MATH 141B|| 141 (GQ)*‡#†,4,2
MATH 140B|| 140 (GQ)*‡#†,4,1
PSYCH 100 (GS)†,3,2
CHEM 210*#,3,3
BIOL 240W,4,4
HPA 101,3,3
CHEM 212*,3,4
PHYS 211|| 250*,4,3
PHYS 212|| 251*,4,4
SOC 1 (GS)†,3,3
General Education Course,3,4
STAT 250 (Consult with an adviser for alternative options),3,3
Healthcare Internship,1,4
BMB 401*,3,5
BIOL 472 (Consult with an adviser for alternative options)*,3,6
CHEM 213W*,2,5
BIOL 473 (Consult with an adviser for alternative options)*,2,6
PHIL/BIOET 432 (Consult with an adviser for alternative options),3,5
BMB 402 (Consult with an adviser for alternative options)*,3,6
PHYS 213 (or Supporting Course)*,2,5
NUTR 251 (GHW)*†,3,6
PHYS 214 (or Supporting Course)*,2,5
ENGL 202C||  202A||  202B|||| 202D (GWS)‡,3,6
CAS 100A||  100B|||| 100C (GWS)‡,3,7
400-Level Supporting Course (Area of Concentration),3,8
400-Level Supporting Course (Area of Concentration),3,7
Supporting Course (Area of Concentration),3,8
Supporting Course (Area of Concentration),3,7
Supporting Course (Consult with adviser for options),3,8
Supporting Course (Consult with adviser for options),3,7
Supporting Course (Consult with adviser for options),2,8
General Education Course,3,7
General Edcuation Course,3,8
