Course,Credits,Semester_Number
MATH 140*‡#†,4,1
MATH 141*‡#†,4,2
STAT 200*,4,1
MATH 220*,3,2
ENGL 15||  30H||||ESL  15‡,3,1
World Language Level 2,4,2
World Language Level 1,4,1
General Education Course,3,2
PSU 16,1,1
General Education Course,3,2
MATH 230*,4,3
MATH 250|| 251*,3-4,4
MATH 311W*,3,3
MATH 312*,3,4
World Language Level 3,4,3
CMPSC 101||  121||  131||  200|||| 201*,3,4
General Education Course,3,3
General Education Course,3,4
MATH 411||  412||  417||  419|||| 421*1,3,5
MATH 435|| 436*,3,6
CAS 100A||  100B|||| 100C‡,3,5
ENGL 202C||  202A||  202B|||| 202D‡,3,6
BA World Cultures,3,5
Supporting Course (Chosen in consultation wtih an academic adviser),3-4,6
General Education Course,3,5
BA Fields,3,6
General Education Course,3,5
General Education Course (GHW),1.5,6
MATH 403*,3,7
MATH 400-Level*2,3,8
MATH 400-Level*2,3,7
BA Fields,3,8
BA Fields,3,7
General Education Course,3,8
Supporting Course (Chosen in consultation wtih an academic adviser),3,7
General Education Course,3,8
