Course,Credits,Semester_Number
First-Year Seminar,1-3,1
AGBM 101|| ECON  102||||ECON  104†,3,2
BIOL 110†,4,1
CHEM 110†,3,2
MATH 110|| 140‡†,4,1
CHEM 111†,1,2
ENGL 15|| 30H‡†,3,1
STAT 200||  240|||| 250*‡†,3-4,2
General Education Course 1,3,1
CAS 100‡†,3,2
FOR 200*,1,3
FOR 204,2,4
FOR 203*,3,3
FOR 266*,4,4
FOR 255*,3,3
CHEM 202,3,4
BIOL 220W,4,3
SOILS 101†,3,4
General Education Course1,3,3
SOILS 102,1,4
FOR 308*,3,5
ENT 313|| FOR  403||||PPEM  318 (need 2),2-3,6
ENGL 202C|| 202D‡†,3,5
FOR 350*,3,6
FOR/WFS 430,3,5
FOR 409,2,6
Supporting Course Selection from List,3,5
FOR 410,3,6
General Education Course1,3,5
Supporting Course Selection from List,3,6
General Education Course (GHW),1.5,5
General Education Course (GHW)1,1.5,6
FOR 421,3,7
ENT 313|| FOR  403||||PPEM  318 (need 2),2-3,8
HORT 445,3,7
FOR 450W,3,8
General Education Course1,3,7
Supporting Course Selection from List,3,8
Supporting Course Selection from List,3,7
Supporting Course Selection from List,3,8
Elective,3,7
Elective,1-3,8
