Course,Credits,Semester_Number
CHEM 110*†,3,1
CHEM 112,3,2
AGBM 101||ECON  102†,3,1
ENGL 15||  30H|| CAS  137H||||ENGL  137H‡†,3,2
MATH 110|| 140‡†,4,1
MATH 111|| 141,2-4,2
ERM 151*,1,1
BIOL 110*,4,2
First Year Seminar,1-3,1
General Education Course,3,2
BIOL 220W,4,3
STAT 200||  240|||| 250‡†,3-4,4
CHEM 111*†,1,3
CHEM 202|| 210,3,4
SOILS 101*†,3,3
PHYS 211|| 250†,4,4
SOILS 102,1,3
GEOG 260|| 160†,3,4
CAS 100A||  138T||||ENGL  138T‡†,3,3
General Education Course (GHW),1.5,4
ERM 411,3,5
ENGL 202C‡†,3,6
ASM 327*,3,5
CED 201,3,6
GEOSC 303|| 1,3,5
ERM 300*,3,6
Ecology Selection,3,5
Specialization/Minor Course,3,6
General Education Course,3,5
Specialization/Minor Course,3,6
ERM 412*,3,7
ERM 413W*,3,8
SOILS 450,3,7
400 Level ERM Course,3,8
400 Level ERM Course,3,7
Communications/Sustainability/Leadership Selection,3,8
Specialization/Minor Course,3,7
Specialization/Minor Course,3,8
Specialization/Minor Course,3,7
Specialization/Minor Course,3,8
