Course,Credits,Semester_Number
SOILS 101*†,3,1
ENGL 15||  30H||||ESL  15‡†,3,2
CHEM 110|| 130*#,3,1
CHEM 202*,3,2
MATH 21‡†,3,1
METEO 3|| 101†,3,2
PLANT 150S,2,1
Supporting Course (Professional Management&&Economics),3,2
General Education Course,3,1
General Education Course,3,2
BIOL 110,4,3
TURF 230*,1,4
TURF 235*,3,3
ENT 317*,3,4
STAT 200‡†,4,3
Supporting Course,3,4
BIOL 127||HORT  101†,3,3
General Education Course,3,4
General Education Course (GHW),1.5,3
General Education Course (GHW),1.5,4
,General Education Course,3
3,,4
TURF 238*,3,5
TURF 435*,4,6
TURF 434*,3,5
CAS 100|| CAS  100A|| CAS  100B||||CAS  100C‡†,3,6
TURF 307*,3,5
TURF 495*,1,6
Supporting Course (Professional Agriculture),3,5
AGBM 106*,3,6
General Education Course,3,5
Supporting Course (Professional Agriculture),3,6
,Elective,5
3,,6
PPEM 412*,3,7
TURF 436W*,3,8
TURF 425*,3,7
TURF 490*,1,8
ENGL 202C|| 202D‡†,3,7
Supporting Course,3,8
TURF 495*,1,7
General Education Course,3,8
Supporting Course (Professional Agriculture),3,7
Supporting Course,3,8
Supporting Course (Professional Management&&Economics),3,7
,,8
