Course,Credits,Semester_Number
JST 10*,3.0,1
Course at Any Level in JST||Related Area*,3.0,2
General Education Course (GWS)‡,3.0,1
General Education Course,3.0,2
General Education Course,3.0,1
General Education Course (GQ)‡,3.0,2
General Education Course (GQ)‡,3.0,1
General Education Course,3.0,2
HEBR 1,4.0,1
HEBR 2,4.0,2
General Education Course (GWS)‡,3.0,3
400-Level Course in HEBR*,3.0,4
Course at Any Level in JST||Related Area*,3.0,3
Course at Any Level in JST||Related Area*,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
HEBR 3,4.0,3
B.A. Knowledge Domains,3.0,4
Course at Any Level in JST||Related Area*,3.0,5
General Education Course (GWS)‡,3.0,6
400-Level Course in JST|| HEBR||||Related Area*,3.0,5
400-Level Course in JST|| HEBR||||Related Area*,3.0,6
General Education Course,3.0,5
General Education Course,3.0,6
B.A. Knowledge Domains,3.0,5
Elective,3.0,6
Elective,3.0,5
Elective,3.0,6
400-Level Course in JST|| HEBR||||Related Area*,3.0,7
400-Level Course in JST|| HEBR||||Related Area*,3.0,8
World Cultures,3.0,7
General Education Course (GHW),1.5,8
B.A. Knowledge Domains,3.0,7
Elective,3.0,8
Elective,3.0,7
Elective,3.0,8
General Education Course (GHW),1.5,7
Elective,3.0,8
