Course,Credits,Semester_Number
GER 1,4.0,1
GER 2,4.0,2
ENGL 15||  30H||  137H|| CAS  137H||||ESL  15‡,3.0,1
CAS 100A||  100B||  100C||  138T||||ENGL  138T‡,3.0,2
General Education Course (N),3.0,1
General Education Course (N),3.0,2
General Education Course,3.0,1
General Education Course,3.0,2
First Year Seminar (FYS),3.0,1
General Education Course (GQ)‡,3.0,2
GER 3,4.0,3
GER 201||GER 208Y (IL)*,4.0,4
GER 200 (GH;IL)||100-level GER*,3.0,3
General Education Course,3.0,4
General Education Course (GQ)‡,3.0,3
General Education Course,3.0,4
General Education Course,3.0,3
BA World Cultures Course,3.0,4
General Education Course,3.0,3
US Cultures Course,3.0,4
GER 301 (IL)*,3.0,5
GER 401Y (IL)*,3.0,6
GER 302W*,3.0,5
Select 3 credits of 300-||400-level courses in GER|| in consultation with major adviser*,3.0,6
BA Requirements,3.0,5
GER 344 (IL)*,3.0,6
General Education Course,3.0,5
BA Requirements,3.0,6
Elective,3.0,5
Elective,3.0,6
GER 411||  412|||| 430*,3.0,7
German Literature||Culture (from list)*,3.0,8
German Literature||Culture (from list)*,3.0,7
Select 3 credits of 300-||400-level courses in GER|| in consultation with major adviser*,3.0,8
GER 310*,3.0,7
General Education Course (GHW),1.5,8
ENGL 202B‡,3.0,7
Elective,3.0,8
General Education Course (GHW),1.5,7
Elective,2.0,8
