Course,Credits,Semester_Number
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H‡,3.0,1
CAS 100|| ENGL  138T||||CAS  138T‡,3.0,2
AFR 110*,3.0,1
AFR 105*,3.0,2
First Year Seminar,3.0,1
General Education Quantification Course‡,3.0,2
World Language Level 1,4.0,1
General Education Course,3.0,2
General Education Course,3.0,1
World Language Level 2,4.0,2
AFR 191||HIST  191*,3.0,3
General Education Quantification Course‡,3.0,4
World Language Level 3,4.0,3
Major Course from Additional Course List*,3.0,4
Major Course from Additional Course List*,3.0,3
AFR 192||HIST  192*,3.0,4
Elective,3.0,3
BA Knowledge Domain Course,3.0,4
Elective,3.0,3
Elective,3.0,4
Major Course from Additional Course List*,3.0,5
Major Course from Additional Course List*,3.0,6
General Education Course,3.0,5
Major Course from Additional Course List*,3.0,6
General Education Course,3.0,5
BA Knowledge Domain Course,3.0,6
General Education Course,3.0,5
ENGL 202A||  202B||  202C|||| 202D‡,3.0,6
Major Course from Additional Course List*,3.0,5
General Education Course,3.0,6
Major Course from Additional Course List*,3.0,7
Major Course from Additional Course List AFR 4XX*,3.0,8
Major Course from Additional Course List AFR 4XX*,3.0,7
Major Course from Additional Course List AFR 4XX*,3.0,8
BA Knowledge Domain Course,3.0,7
General Education Health&&Wellness (GHW),1.5,8
General Education Course,3.0,7
General Education Course,3.0,8
AFR 4XX,3.0,7
Elective,3.0,8
