Course,Credits,Semester_Number
HIST Survey Course I*,3.0,1
Hist Survey Course II*,3.0,2
General Education Course (GWS)‡,3.0,1
General Education Course,3.0,2
World Language Level 1,3.0,1
General Education Course,3.0,2
General Education Course,3.0,1
General Education Course (GQ)‡,3.0,2
General Education Course (GQ)‡,3.0,1
World Language Level 2,3.0,2
100-||200-Level HIST Course*,3.0,3
100-||200-Level HIST Course*,3.0,4
General Education Course (GWS)‡,3.0,3
100-||200-Level HIST Course*,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
World Language Level 3,4.0,3
B.A. Knowledge Domains,3.0,4
HIST 302W,3.0,5
100-||200-Level HIST Course*,3.0,6
100-||200-Level HIST Course*,3.0,5
General Education Course (GWS)‡,3.0,6
General Education Course,3.0,5
400-Level HIST Course*,3.0,6
B.A. Knowledge Domains,3.0,5
General Education Course,3.0,6
Elective,3.0,5
Elective,3.0,6
400-Level HIST Course*,3.0,7
400-Level HIST Course*,3.0,8
400-Level HIST Course*,3.0,7
General Education Course (GHW),1.5,8
World Cultures,3.0,7
Elective,3.0,8
B.A. Knowledge Domains,3.0,7
Elective,3.0,8
Elective,3.0,7
Elective,3.0,8
