Year,Semester,Course,Credits
First Year,Fall,BIOL 110†,4
First Year,Spring,CHEM 112†,3
First Year,Fall,CHEM 110†,3
First Year,Spring,CHEM 113†,1
First Year,Fall,CHEM 111†,1
First Year,Spring,MATH 140 (GQ)‡†,4
First Year,Fall,ENGL 15‡†,3
First Year,Spring,Supporting Course2,3
First Year,Fall,FDSC 150S (First-Year Seminar),2
First Year,Spring,General Education Course1,3
First Year,Fall,General Education Course1,3
First Year,Spring,General Education Course1,3
Second Year,Fall,CHEM 202,3
Second Year,Spring,BMB 211,3
Second Year,Fall,FDSC 200*,3
Second Year,Spring,BMB 212,1
Second Year,Fall,FDSC 201*,1
Second Year,Spring,ENGL 202C or  202D‡†,3
Second Year,Fall,MICRB 201,3
Second Year,Spring,PHYS 250,4
Second Year,Fall,MICRB 202,2
Second Year,Spring,STAT 250 (GQ)‡†,3
Second Year,Fall,General Education Course1,3
Second Year,Spring,General Education Course1,3
Third Year,Fall,FDSC 400*,3
Third Year,Spring,CAS 100A or  100B‡†,3
Third Year,Fall,FDSC 408*,3
Third Year,Spring,FDSC 405*,3
Third Year,Fall,FDSC 409,2
Third Year,Spring,FDSC 406W*,3
Third Year,Fall,General Education Course1,3
Third Year,Spring,FDSC 410,3
Third Year,Fall,General Education Course1,3
Third Year,Spring,Supporting Course2,3
Fourth Year,Fall,FDSC 404,3
Fourth Year,Spring,FDSC 414,3
Fourth Year,Fall,FDSC 411,3
Fourth Year,Spring,FDSC 415,3
Fourth Year,Fall,FDSC 413,3
Fourth Year,Spring,FDSC 417,3
Fourth Year,Fall,FDSC 450,3
Fourth Year,Spring,Supporting Course2,3
