Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, or  137H‡",3
First Year,Spring,"CAS 100A,  100B,  100C,  138T, or ENGL  138T‡",3
First Year,Fall,OLEAD 100*,3
First Year,Spring,OLEAD 201,3
First Year,Fall,PSYCH 100 (GS)*†,3
First Year,Spring,PSYCH 281 or LHR  202 (GS)*†,3
First Year,Fall,World Language Level 1,4
First Year,Spring,World Language Level 2,4
First Year,Fall,First-Year Seminar/General Education Course (Exploration),3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,IST 110 or PHIL  10*,3
Second Year,Spring,"LHR 312, SOC  207, LHR  437, or CAS  404*",3
Second Year,Fall,OLEAD 210*,3
Second Year,Spring,BA Fields Course,3
Second Year,Fall,General Education Course (GA),3
Second Year,Spring,General Education Course (GH),3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,General Education Course (GN),3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,Elective (US),3
Third Year,Fall,OLEAD 464*,3
Third Year,Spring,PSYCH 484*,3
Third Year,Fall,BA Fields Course,3
Third Year,Spring,BA Fields Course,3
Third Year,Fall,General Education Course (GN),3
Third Year,Spring,General Education Course (Inter-Domain),3
Third Year,Fall,Elective (IL),3
Third Year,Spring,Elective/World Cultures Course,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,PHIL 119 or LHR  460*,3
Fourth Year,Spring,"ENGL 202A,  202B,  202C, or  202D‡",3
Fourth Year,Fall,Writing Across the Curriculum Course (LHR 458Y suggested),3
Fourth Year,Spring,OLEAD 465*,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,General Education Course (Inter-Domain),3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
