Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, or  137H‡",3
First Year,Spring,"CAS 100A,  100B,  100C,  138T, or ENGL  138T‡",3
First Year,Fall,OLEAD 100*,3
First Year,Spring,OLEAD 201*,3
First Year,Fall,PSYCH 100*,3
First Year,Spring,PSYCH 281 or LHR  202*†,3
First Year,Fall,First-Year Seminar/General Education Course (Exploration),3
First Year,Spring,General Education Course (GN),3
First Year,Fall,General Education Course (GA),3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,LHR 312*,3
Second Year,Spring,General Education Course (Exploration)2,3
Second Year,Fall,OLEAD 210*,3
Second Year,Spring,General Education Course (Exploration)2,3
Second Year,Fall,STAT 200 or SCM  200 (GQ)‡,4
Second Year,Spring,IST 110 or PHIL  10*,3
Second Year,Fall,General Education Course (GN),3
Second Year,Spring,Elective (US)2,3
Second Year,Fall,General Education Course (GS)1,3
Second Year,Spring,Elective (Inter-Domain),3
Third Year,Fall,CAS 404 or LHR  437*,3
Third Year,Spring,OLEAD 465*,3
Third Year,Fall,OLEAD 464*,3
Third Year,Spring,"AFAM/LHR/WMNST 136, OLEAD  220, OLEAD  410, OLEAD  411, or WMNST  105N*",3
Third Year,Fall,PSYCH 484*,3
Third Year,Spring,"BA 100, LHR  427, LHR  460, or PHIL  119*",3
Third Year,Fall,Elective (Inter-Domain)2,3
Third Year,Spring,400-level Supporting Course*3,3
Third Year,Fall,Elective (IL)2,3
Third Year,Spring,Elective,3
Fourth Year,Fall,"ENGL 202A,  202B,  202C, or  202D‡",3
Fourth Year,Spring,400-level Supporting Course*3,3
Fourth Year,Fall,400-level Supporting Course*3,3
Fourth Year,Spring,400-level Supporting Course*3,3
Fourth Year,Fall,400-level Supporting Course*3,3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Elective (Writing Across the Curriculum),3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
