Year,Semester,Course,Credits
First Year,Fall,JAPNS 1*,4
First Year,Spring,JAPNS 2*,4
First Year,Fall,"ENGL 15,  30H, ESL  15, ENGL  137H, or CAS  137H‡",3
First Year,Spring,"CAS 100, ENGL  138T, or CAS  138T‡",3
First Year,Fall,General Education Course,3
First Year,Spring,Major Course from Supporting Courses and Related Areas*,3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,First-Year Seminar,3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,JAPNS 3*,4
Second Year,Spring,JAPNS 110*,4
Second Year,Fall,JAPNS 120 or  121N*,3
Second Year,Spring,General Education Course,3
Second Year,Fall,BA Knowledge Domains Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,BA Knowledge Domains Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,Elective,3
Third Year,Fall,JAPNS 401*,4
Third Year,Spring,JAPNS 402*,4
Third Year,Fall,General Education Course,3
Third Year,Spring,"JAPNS 450, JAPNS  452, JAPNS  453, or JAPNS  454*",3
Third Year,Fall,General Education Course,3
Third Year,Spring,ENGL 202B‡,3
Third Year,Fall,BA Knowledge Domains Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,JAPNS 403Y*,4
Fourth Year,Spring,JAPNS 404*,4
Fourth Year,Fall,"JAPNS 426,  430,  431,  432, JAPNS 433, or JAPNS  434*",3
Fourth Year,Spring,Major Course from Supporting Courses and Related Areas*,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,2
