Year,Semester,Course,Credits
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Fall,CHEM 111 (GN),1
First Year,Spring,MATH 141 or  141E (GQ)*‡#†,4
First Year,Fall,ECON 102 or  104 (GS)†,3
First Year,Spring,NUCE 297 (or Other First-Year Seminar),1
First Year,Fall,EDSGN 100*#,3
First Year,Spring,PHYS 211 (GN)*#†,4
First Year,Fall,MATH 140 or  140E (GQ)*‡#†,4
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course (GHW),1.5
Second Year,Fall,CMPSC 200 or  201,3
Second Year,Spring,CAS 100A or  100B (GWS)‡†,3
Second Year,Fall,EMCH 211,3
Second Year,Spring,EMCH 212,3
Second Year,Fall,MATH 251*,4
Second Year,Spring,EMCH 213,3
Second Year,Fall,PHYS 212 (GN)*†,4
Second Year,Spring,MATH 230,4
Second Year,Fall,General Education Course,3
Second Year,Spring,PHYS 214,2
Third Year,Fall,ENGL 202C (GWS)‡†,3
Third Year,Spring,EE 212,3
Third Year,Fall,NUCE 301*,4
Third Year,Spring,EMCH 315,2
Third Year,Fall,NUCE 309*,3
Third Year,Spring,EMCH 316,1
Third Year,Fall,NUCE 310W,2
Third Year,Spring,NUCE 302*,4
Third Year,Fall,NUCE 321,3
Third Year,Spring,NUCE 322,3
Fourth Year,Fall,NUCE 403,3
Fourth Year,Spring,NUCE 431W,4
Fourth Year,Fall,NUCE 420,3
Fourth Year,Spring,Nuclear Engineering Elective (NETE),3
Fourth Year,Fall,NUCE 430*,3
Fourth Year,Spring,General Technical Elective (GTE),3
Fourth Year,Fall,NUCE 451,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,Nuclear Engineering Elective (NETE),3
Fourth Year,Spring,General Education Course,3
