Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, or  137H‡",3
First Year,Spring,"CAS 100, CAS  138T, or ENGL  138T‡",3
First Year,Fall,"ECON 14,  102, or  104 (GS)*†",3
First Year,Spring,LHR 100*,3
First Year,Fall,World Language Level 1,4
First Year,Spring,World Language Level 2,4
First Year,Fall,General Education Course (GN),3
First Year,Spring,General Education Course (GS) - PSYCH 100 suggested,3
First Year,Fall,First-Year Seminar (GH),3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,General Education Course (GN),3
Second Year,Fall,General Education Course (GA),3
Second Year,Spring,General Education Course (GH - Inter-Domain),3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,General Education Course (GA),3
Second Year,Fall,LHR 201*,3
Second Year,Spring,LHR 312*,3
Second Year,Fall,PSYCH 281 or LHR  202*†1,3
Second Year,Spring,Supporting Course*,3
Third Year,Fall,BA Fields Course,3
Third Year,Spring,BA Fields Course,3
Third Year,Fall,"ENGL 202A,  202B,  202C, or  202D‡",3
Third Year,Spring,BA Fields Course,3
Third Year,Fall,LHR 304*,3
Third Year,Spring,LHR 4XX*,3
Third Year,Fall,LHR 305*,3
Third Year,Spring,Elective,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,"AFAM/LHR/WMNST 136Y, HIST  458Y, or LHR  458Y*",3
Fourth Year,Spring,LHR 4XX*,3
Fourth Year,Fall,LHR 460*,3
Fourth Year,Spring,Supporting Course*,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,General Education Course (GHW),1.5
