Year,Semester,Course,Credits
First Year,Fall,First-Year Seminar,1
First Year,Spring,MICRB 201*1,3
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,MICRB 202 or  203,2
First Year,Fall,CHEM 111 (GN)*#†,1
First Year,Spring,CHEM 112 (GN)*#†,3
First Year,Fall,MATH 140 (GQ)*‡#†,4
First Year,Spring,CHEM 113 (GN)†,1
First Year,Fall,ENGL 15 or  30H (GWS)‡,3
First Year,Spring,"MATH 141, STAT  200, STAT  240, or STAT  250 (GQ)‡†8",3-4
First Year,Fall,General Education Course,3
First Year,Spring,"CAS 100A,  100B, or  100C (GWS)‡",3
Second Year,Fall,"BMB/MICRB 251*1,3,4",3
Second Year,Spring,"BMB/MICRB 252*1,3",3
Second Year,Fall,CHEM 210,3
Second Year,Spring,CHEM 212,3
Second Year,Fall,PHYS 211 or  250 (GN)†,4
Second Year,Spring,CHEM 213W,2
Second Year,Fall,Department List C9,3
Second Year,Spring,PHYS 212 or  251 (GN),4
Second Year,Fall,General Education Course,3
Second Year,Spring,"BIOL 3223,4",3
Third Year,Fall,BMB 400*2,2
Third Year,Spring,BMB 402*2,3
Third Year,Fall,BMB 401*2,3
Third Year,Spring,BMB 442,3
Third Year,Fall,MICRB 401*2,3
Third Year,Spring,"MICRB 415*2,4",3
Third Year,Fall,MICRB 421W,3
Third Year,Spring,"MICRB Elective (List A)4,5,9",3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,General Education Course (GHW),1.5
Third Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,MICRB 450*2,3
Fourth Year,Spring,"MICRB Elective (List B)5,6,7,9",0-3
Fourth Year,Fall,PPEM 456*2,3
Fourth Year,Spring,Department List C9,2
Fourth Year,Fall,"MICRB Elective (List B)5,9",3
Fourth Year,Spring,Department List C9,3
Fourth Year,Fall,"MICRB Elective (List B)5,9",3
Fourth Year,Spring,"General Education Course (GWS)‡†4,6",3
Fourth Year,Fall,Department List C9,3
Fourth Year,Spring,General Education Course,3
