Year,Semester,Course,Credits
First Year,Fall,GER 1,4
First Year,Spring,GER 2,4
First Year,Fall,"ENGL 15,  30H,  137H, CAS  137H, or ESL  15‡",3
First Year,Spring,"CAS 100A,  100B,  100C,  138T, or ENGL  138T‡",3
First Year,Fall,General Education Course (N),3
First Year,Spring,General Education Course (N),3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,First Year Seminar (FYS),3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,GER 3,4
Second Year,Spring,GER 201 or GER 208Y (IL)*,4
Second Year,Fall,GER 200 (GH;IL) or 100-level GER*,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,BA World Cultures Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,US Cultures Course,3
Third Year,Fall,GER 301 (IL)*,3
Third Year,Spring,GER 401Y (IL)*,3
Third Year,Fall,GER 302W*,3
Third Year,Spring,"Select 3 credits of 300- or 400-level courses in GER, in consultation with major adviser*",3
Third Year,Fall,BA Requirements,3
Third Year,Spring,GER 344 (IL)*,3
Third Year,Fall,General Education Course,3
Third Year,Spring,BA Requirements,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,"GER 411,  412, or  430*",3
Fourth Year,Spring,German Literature or Culture (from list)*,3
Fourth Year,Fall,German Literature or Culture (from list)*,3
Fourth Year,Spring,"Select 3 credits of 300- or 400-level courses in GER, in consultation with major adviser*",3
Fourth Year,Fall,GER 310*,3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,ENGL 202B‡,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Elective,2
