Year,Semester,Course,Credits
First Year,Fall,VBSC 50,3
First Year,Spring,"ENGL 15,  30H, or ESL  15‡†",3
First Year,Fall,BIOL 110*#†,4
First Year,Spring,BIOL 230W*#,4
First Year,Fall,CHEM 110*#†,3
First Year,Spring,CHEM 112*#†,3
First Year,Fall,CHEM 111*#†,1
First Year,Spring,CHEM 113*#†,1
First Year,Fall,MATH 140*‡#†,4
First Year,Spring,MATH 141*‡#†,4
First Year,Fall,General Education Course,0-3
First Year,Spring,General Education Course or VBSC 190,1-3
Second Year,Fall,BIOL 220W,4
Second Year,Spring,BIOL 240W or  141,3-4
Second Year,Fall,PHYS 250,4
Second Year,Spring,PHYS 251,4
Second Year,Fall,CHEM 210,3
Second Year,Spring,CHEM 212,3
Second Year,Fall,"CAS 100A,  100B, or  100C‡†",3
Second Year,Spring,CHEM 213,2
Second Year,Fall,General Education Course (GHW),1.5
Second Year,Spring,VBSC 230,3
Second Year,Fall,General Education Course,0-3
Second Year,Spring,General Education (GHW),1.5
Third Year,Fall,BMB 211,3
Third Year,Spring,BMB 221,2
Third Year,Fall,BMB 212,1
Third Year,Spring,ENGL 202C‡†,3
Third Year,Fall,BBH/HPA 440,3
Third Year,Spring,STAT 200 or  250,3-4
Third Year,Fall,VBSC 331*,3
Third Year,Spring,VBSC 496 or  395,0-3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Fourth Year,Fall,VBSC 430*,3
Fourth Year,Spring,VBSC/BMB 433*,3
Fourth Year,Fall,VBSC/ERM 431*,3
Fourth Year,Spring,VBSC 438*,3
Fourth Year,Fall,VBSC 395 or  496,0-3
Fourth Year,Spring,Supporting Course 400 Level or Elective*,3-6
Fourth Year,Fall,Elective or 400-level Supporting Courses*,3-6
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,VBSC 496 or  395,0-3
