Year,Semester,Course,Credits
First Year,Fall,Applied Music - Primary Instrument*,2
First Year,Spring,Applied Music - Primary Instrument*,2
First Year,Fall,Ensemble (Supporting Course)*,1
First Year,Spring,Ensemble (Supporting Course)*,1
First Year,Fall,MUSIC 40*,1
First Year,Spring,MUSIC 122*,1
First Year,Fall,MUSIC 121*,1
First Year,Spring,MUSIC 132*,2
First Year,Fall,MUSIC 131*,2
First Year,Spring,MUSIC 162*,2
First Year,Fall,World Language,4
First Year,Spring,"ENGL 15,  15A, or  30H‡",3
First Year,Fall,General Education Course (GQ)‡,3
First Year,Spring,World Language,4
Second Year,Fall,Applied Music - Primary Instrument*,2
Second Year,Spring,Applied Music - Primary Instrument*,2
Second Year,Fall,Ensemble (Supporting Course)*,1
Second Year,Spring,Ensemble (Supporting Course)*,1
Second Year,Fall,MUSIC 221*,1
Second Year,Spring,MUSIC 222*,1
Second Year,Fall,MUSIC 231*,2
Second Year,Spring,MUSIC 261*,3
Second Year,Fall,MUSIC 262*,3
Second Year,Spring,MUSIC 270*,1
Second Year,Fall,World Language,4
Second Year,Spring,MUSIC 332*,2
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,General Education Course,3
Second Year,Fall,Elective,1
Second Year,Spring,General Education Course (Inter-Domain),3
Third Year,Fall,"CAS 100A,  100B, or  100C‡",3
Third Year,Spring,400-Level Music Course*,3
Third Year,Fall,400-Level Music Course*,3
Third Year,Spring,400-Level Music Course*,3
Third Year,Fall,BA Fields,3
Third Year,Spring,"ENGL 202A,  202B,  202C, or  202D‡",3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Fourth Year,Fall,400-Level Music Course*,3
Fourth Year,Spring,MUSIC 101*,1
Fourth Year,Fall,BA Fields,3
Fourth Year,Spring,MUSIC 476W*,3
Fourth Year,Fall,BA World Cultures,3
Fourth Year,Spring,BA Fields,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course,3
