Year,Semester,Course,Credits
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,CHEM 112 (GN),3
First Year,Fall,CHEM 111 (GN),1
First Year,Spring,CHEM 113 (GN),1
First Year,Fall,EDSGN 100*#,3
First Year,Spring,MATH 141 or  141E (GQ)*‡#†,4
First Year,Fall,MATH 140 or  140E (GQ)*‡#†,4
First Year,Spring,"PHYS 211 (GN, PHYSICS 211L & PHYSICS 211R)*#†",4
First Year,Fall,BME 100 (or First Year Seminar)†,1
First Year,Spring,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Fall,ECON 102 or  104 (GS)†,3
First Year,Spring,General Education Course†,3
Second Year,Fall,BIOL 141*,3
Second Year,Spring,BME 201*,3
Second Year,Fall,"BIOL 142,  162, or  164*",1
Second Year,Spring,CHEM 202 or  210,3
Second Year,Fall,EMCH 210,5
Second Year,Spring,CMPSC 200,3
Second Year,Fall,MATH 251*,4
Second Year,Spring,MATH 230,4
Second Year,Fall,PHYS 212 (PHYSICS 212L & PHYSICS 212R)*,4
Second Year,Spring,General Education Course†,3
Third Year,Fall,BME 301*,4
Third Year,Spring,BME 401*,3
Third Year,Fall,BME 303,3
Third Year,Spring,BME 402*,3
Third Year,Fall,BME 313*,3
Third Year,Spring,BME 403,1
Third Year,Fall,Related Technical Elective,3
Third Year,Spring,BME 409,3
Third Year,Fall,General Education Course†,3
Third Year,Spring,BME 413,3
Fourth Year,Fall,BME 429,2
Fourth Year,Spring,BME 423,3
Fourth Year,Fall,BME 440,1
Fourth Year,Spring,BME 450W,3
Fourth Year,Fall,Biochemical Elective,3
Fourth Year,Spring,Biochemical Elective,3
Fourth Year,Fall,Science or Engineering Elective,3
Fourth Year,Spring,Biochemical Elective,3
Fourth Year,Fall,CAS 100A or  100B (GWS)‡†,3
Fourth Year,Spring,General Education Course†,3
Fourth Year,Fall,General Education Course†,3
Fourth Year,Spring,General Education Course (GHW)†,1.5
