Year,Semester,Course,Credits
First Year,Fall,BIOL 161*#† 1,3
First Year,Spring,BIOL 163*#† 1,3
First Year,Fall,BIOL 162*#† 1,1
First Year,Spring,BIOL 164*†,1
First Year,Fall,ENGL 15 or  30H‡,3
First Year,Spring,HDFS 129*†,3
First Year,Fall,PSYCH 100*†,3
First Year,Spring,NUTR 251*†,3
First Year,Fall,NURS 100 (or other First Year Seminar - as required by campus)2,1
First Year,Spring,"CAS 100A,  100B, or  100C‡",3
First Year,Fall,General Education Course (GH),3
First Year,Spring,General Education Course (GQ)‡3,3
Second Year,Fall,CHEM 130 or  110 and  111*3,3-4
Second Year,Spring,SOC 1 or  5*,3
Second Year,Fall,MICRB 106*†,3
Second Year,Spring,STAT 200 or  250*‡†,3-4
Second Year,Fall,MICRB 107*†,1
Second Year,Spring,NURS 225*,3
Second Year,Fall,NURS 250*,2
Second Year,Spring,NURS 230*,4
Second Year,Fall,NURS 251*,3
Second Year,Spring,Integrative Studies Interdomain Course,3
Third Year,Fall,NURS 305*,3
Third Year,Spring,NURS 200W*,3
Third Year,Fall,NURS 301*,4
Third Year,Spring,NURS 302*,1
Third Year,Fall,NURS 310*,3
Third Year,Spring,NURS 306*,3
Third Year,Fall,NURS 350*,2
Third Year,Spring,NURS 320*,3
Third Year,Fall,Integrative Studies Interdomain Course,3
Third Year,Spring,"ENGL 202A,  202B,  202C, or  202D‡",3
Fourth Year,Fall,NURS 405A*,4
Fourth Year,Spring,NURS 450B*,3
Fourth Year,Fall,NURS 450A*,2
Fourth Year,Spring,NURS 405B*,4
Fourth Year,Fall,NURS 415*,4
Fourth Year,Spring,NURS 420*,4
Fourth Year,Fall,Elective,3
Fourth Year,Spring,NURS 480*,2
