Year,Semester,Course,Credits
First Year,Fall,PSU 16,1
First Year,Spring,MICRB 2011,3
First Year,Fall,CHEM 110*#†,3
First Year,Spring,MICRB 202 or  203 (Consult with an academic adviser for options),2
First Year,Fall,CHEM 111*#†,1
First Year,Spring,CHEM 112*#†,3
First Year,Fall,MATH 140 or  140B*‡#†,4
First Year,Spring,CHEM 113†,1
First Year,Fall,ENGL 15 or  30H‡,3
First Year,Spring,MATH 141 or  141B‡†,4
First Year,Fall,General Education Course,3
First Year,Spring,"CAS 100A,  100B, or  100C‡",3
Second Year,Fall,BMB 2511,3
Second Year,Spring,BMB 2521,3
Second Year,Fall,CHEM 202 or  210,3
Second Year,Spring,CHEM 203 or  212 and  213,3
Second Year,Fall,PHYS 250†,4
Second Year,Spring,PHYS 251†,4
Second Year,Fall,Department List C (Consult with an academic adviser for options),3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Third Year,Fall,BIOTC 4892,3
Third Year,Spring,BIOTC 4592,3
Third Year,Fall,BMB 211,3
Third Year,Spring,BMB 221,2
Third Year,Fall,MICRB 421W,3
Third Year,Spring,BMB 442,3
Third Year,Fall,Department List C (Consult with an academic adviser for options),3
Third Year,Spring,BIOL 322,3
Third Year,Fall,General Education Course,3
Third Year,Spring,"ENGL 202C,  202A,  202B, or  202C‡",3
Third Year,Fall,General Education Course (GHW),1.5
Third Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,BIOTC 4162,2
Fourth Year,Spring,MICRB 4102,3
Fourth Year,Fall,BIOTC 4792,3
Fourth Year,Spring,BIOTC 400-Level Lecture Selections (Consult with an academic adviser for options)2,3
Fourth Year,Fall,BIOTC 400 Level Lecture Selections (Consult with an academic adviser for options)2,3
Fourth Year,Spring,STAT 250,3
Fourth Year,Fall,Department list C Free (Consult with an academic adviser for options),4
Fourth Year,Spring,Department List C (Consult with an academic adviser for options),3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,Department List C (Consult with an academic adviser for options),3
