Year,Semester,Course,Credits
First Year,Fall,CE 100S (or other First Year Seminar)†,1
First Year,Spring,CHEM 111,1
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,ECON 102 or  104 (GS)†,3
First Year,Fall,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Spring,MATH 141 or  141E (GQ)*‡#†,4
First Year,Fall,EDSGN 100*#,3
First Year,Spring,PHYS 211 (PHYS 211L and PHYS 211R (GN))*#†,4
First Year,Fall,MATH 140 or  140E (GQ)*‡#†,4
First Year,Spring,General Education Course†,3
First Year,Fall,General Education Course†,3
First Year,Spring,General Education Course (GHW)†,1.5
Second Year,Fall,CAS 100A or  100B (GWS)‡†,3
Second Year,Spring,CMPSC 200 or  201,3
Second Year,Fall,EMCH 211*,3
Second Year,Spring,EMCH 212*,3
Second Year,Fall,GEOSC 1,3
Second Year,Spring,EMCH 213 or EMCH 213D*,3
Second Year,Fall,MATH 251*,4
Second Year,Spring,IE 424 or STAT  401,3
Second Year,Fall,PHYS 212 (PHYS 212L and PHYS 212R (GN))*†,4
Second Year,Spring,MATH 220,2
Third Year,Fall,CE 310*,3
Third Year,Spring,CE 321*,3
Third Year,Fall,CE 332*,3
Third Year,Spring,CE 335*,3
Third Year,Fall,CE 336*,3
Third Year,Spring,CE 337,1
Third Year,Fall,CE 340*,3
Third Year,Spring,CE 370*,3
Third Year,Fall,CE 360*,3
Third Year,Spring,Civil Engineering Technical Elective,3
Fourth Year,Fall,ENGL 202C (GWS)‡†,3
Fourth Year,Spring,Civil Engineering Capstone Design,3
Fourth Year,Fall,Civil Engineering Technical Elective,3
Fourth Year,Spring,Civil Engineering Technical Elective,3
Fourth Year,Fall,Civil Engineering Technical Elective,3
Fourth Year,Spring,Technical Elective,3
Fourth Year,Fall,Technical Elective,3
Fourth Year,Spring,Technical Elective,3
Fourth Year,Fall,General Education Course†,3
Fourth Year,Spring,General Education Course†,3
