Year,Semester,Course,Credits
First Year,Fall,COMM 160*,1
First Year,Spring,ECON 102 (GS)*#†,3
First Year,Fall,ENGL 15*#†‡,3
First Year,Spring,General Education Course (GN),3
First Year,Fall,PSYCH 100 (GS)*†,3
First Year,Spring,Any COMM Course*,3
First Year,Fall,General Education Course (GN),3
First Year,Spring,General Education Course (Inter-Domain),3
First Year,Fall,World Language Level 1,4
First Year,Spring,World Language Level 2,4
Second Year,Fall,COMM 320*1,3
Second Year,Spring,STAT 200*‡†,4
Second Year,Fall,General Education Course (Inter-Domain),3
Second Year,Spring,"COMM 305,  320,  373,  410,  411,  417,  418,  425,  426,  427,  468,  494,  495,  496, or  499*",3
Second Year,Fall,General Education Course (GH),3
Second Year,Spring,General Education Course (Exploration),3
Second Year,Fall,BA World Cultures,3
Second Year,Spring,IL Cultures,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,BA Knowledge Domain,3
Third Year,Fall,COMM 420*,3
Third Year,Spring,COMM 421W*,3
Third Year,Fall,"CAS 100A,  100B, or  100C (GWS)‡",3
Third Year,Spring,"COMM 305,  320,  373,  410,  411,  417,  418,  425,  426,  427,  468,  494,  495,  496, or  499*",3
Third Year,Fall,General Education Course (GA),3
Third Year,Spring,General Education Course (GQ)‡,3
Third Year,Fall,US Cultures,3
Third Year,Spring,BA Knowledge Domain,3
Third Year,Fall,BA Knowledge Domain,3
Third Year,Spring,BA Knowledge Domain,3
Fourth Year,Fall,COMM 422*,3
Fourth Year,Spring,COMM 424*,3
Fourth Year,Fall,"ENGL 202A,  202B,  202C, or  202D (GWS)‡",3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
