Year,Semester,Course,Credits
First Year,Fall,ABSM 100,1
First Year,Spring,CHEM 111†,1
First Year,Fall,CHEM 110†,3
First Year,Spring,ACCTG 211,4
First Year,Fall,EDSGN 100*,3
First Year,Spring,ENGL 15‡†,3
First Year,Fall,MATH 110 or  140‡†,4
First Year,Spring,PHYS 250 or  211†,4
First Year,Fall,General Education Course (GHW),1.5
First Year,Spring,General Education Course,3
First Year,Fall,ECON 104†,3
First Year,Spring,General Education Course (GHW),1.5
Second Year,Fall,AGBM 101 or ECON  102†,3
Second Year,Spring,"BLAW 243, BA  243, or BA  241 and BA  242",3
Second Year,Fall,BIOL 110 or  11 and  12†,4
Second Year,Spring,General Education Course,3
Second Year,Fall,CAS 100A or  100B‡†,3
Second Year,Spring,General Education Course,3
Second Year,Fall,STAT 200 or  240‡†,3
Second Year,Spring,Additional Specialization,3
Second Year,Fall,General Education Course,3
Second Year,Spring,Additional Specialization,3
Third Year,Fall,AGBM 106*,3
Third Year,Spring,ABSM 392‡†,2
Third Year,Fall,ABSM 300*,3
Third Year,Spring,BA 303 or AGBM  302,3
Third Year,Fall,ABSM 301*,3
Third Year,Spring,ABSM Selection,3
Third Year,Fall,ABSM 350*,3
Third Year,Spring,ABSM Selection,3
Third Year,Fall,ABSM 391‡†,2
Third Year,Spring,Additional Specialization,3
Fourth Year,Fall,ABSM 428,3
Fourth Year,Spring,ABSM 426,3
Fourth Year,Fall,ABSM 430W,1
Fourth Year,Spring,ABSM 431W,2
Fourth Year,Fall,ABSM 422,3
Fourth Year,Spring,ABSM Selection,3
Fourth Year,Fall,ABSM 429,3
Fourth Year,Spring,Additional Specialization,3
Fourth Year,Fall,Additional Specialization,3
Fourth Year,Spring,Additional Specialization,3
