Year,Semester,Course,Credits
First Year,Fall,HIST Survey Course I*,3
First Year,Spring,Hist Survey Course II*,3
First Year,Fall,General Education Course (GWS)‡,3
First Year,Spring,General Education Course,3
First Year,Fall,World Language Level 1,3
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course (GQ)‡,3
First Year,Fall,General Education Course (GQ)‡,3
First Year,Spring,World Language Level 2,3
Second Year,Fall,100- or 200-Level HIST Course*,3
Second Year,Spring,100- or 200-Level HIST Course*,3
Second Year,Fall,General Education Course (GWS)‡,3
Second Year,Spring,100- or 200-Level HIST Course*,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,B.A. Knowledge Domains,3
Third Year,Fall,HIST 302W,3
Third Year,Spring,100- or 200-Level HIST Course*,3
Third Year,Fall,100- or 200-Level HIST Course*,3
Third Year,Spring,General Education Course (GWS)‡,3
Third Year,Fall,General Education Course,3
Third Year,Spring,400-Level HIST Course*,3
Third Year,Fall,B.A. Knowledge Domains,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,400-Level HIST Course*,3
Fourth Year,Spring,400-Level HIST Course*,3
Fourth Year,Fall,400-Level HIST Course*,3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,World Cultures,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,B.A. Knowledge Domains,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
