Year,Semester,Course,Credits
First Year,Fall,AE 124 (or First Year Seminar)†,1
First Year,Spring,ARTH 202N (GA) (US/IL)†,3
First Year,Fall,ECON 102 or  104 (GS)†,3
First Year,Spring,EDSGN 100#,3
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,MATH 141 or  141E (GQ)*‡#†,4
First Year,Fall,CHEM 111,1
First Year,Spring,PHYS 211 (PHYS 211L and 211R) (GN)*#†,4
First Year,Fall,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Spring,CAS 100A or  100B (GWS)‡†,3
Second Year,Fall,AE 202,3
Second Year,Spring,AE 222,3
Second Year,Fall,AE 221,3
Second Year,Spring,AE 240,3
Second Year,Fall,ARCH 130A,3
Second Year,Spring,ARCH 130B,3
Second Year,Fall,EMCH 211,3
Second Year,Spring,EMCH 213,3
Second Year,Fall,MATH 250,3
Second Year,Spring,PHYS 212 (PHYS 212L and 212R) (GN),4
Third Year,Fall,AE 308*,4
Third Year,Spring,AE 311*,3
Third Year,Fall,AE 309,3
Third Year,Spring,AE 372*,3
Third Year,Fall,AE 310*,3
Third Year,Spring,ARCH 100 or LARCH  60 (GA)†,3
Third Year,Fall,MATH 220,3
Third Year,Spring,EMCH 212,3
Third Year,Fall,MATH 231,2
Third Year,Spring,General Education Course (GHW),3
Fourth Year,Fall,AE 404,3
Fourth Year,Spring,AE 405,4
Fourth Year,Fall,AE 441,1
Fourth Year,Spring,AE 472,3
Fourth Year,Fall,AE 475,3
Fourth Year,Spring,AE 476,3
Fourth Year,Fall,ARCH 441,3
Fourth Year,Spring,AE 477,3
Fourth Year,Fall,MGMT 326,3
Fourth Year,Spring,STAT 401 or IE  424,3
Fifth Year,Fall,AE 473,3
Fifth Year,Spring,AE 482,4
Fifth Year,Fall,AE 481W,4
Fifth Year,Spring,General Education Course,3
Fifth Year,Fall,CE 209,2
Fifth Year,Spring,General Education Course,3
Fifth Year,Fall,ENGL 202C (GWS)‡†,3
Fifth Year,Spring,Department Elective,3
Fifth Year,Fall,Department Elective,3
Fifth Year,Spring,Department Elective,2
