Year,Semester,Course,Credits
First Year,Fall,CHEM 110*†,3
First Year,Spring,CHEM 112,3
First Year,Fall,AGBM 101 or ECON  102†,3
First Year,Spring,"ENGL 15,  30H, CAS  137H, or ENGL  137H‡†",3
First Year,Fall,MATH 110 or  140‡†,4
First Year,Spring,MATH 111 or  141,2-4
First Year,Fall,ERM 151*,1
First Year,Spring,BIOL 110*,4
First Year,Fall,First Year Seminar,1-3
First Year,Spring,General Education Course,3
Second Year,Fall,BIOL 220W,4
Second Year,Spring,"STAT 200,  240, or  250‡†",3-4
Second Year,Fall,CHEM 111*†,1
Second Year,Spring,CHEM 202 or  210,3
Second Year,Fall,SOILS 101*†,3
Second Year,Spring,PHYS 211 or  250†,4
Second Year,Fall,SOILS 102,1
Second Year,Spring,GEOG 260 or  160†,3
Second Year,Fall,"CAS 100A,  138T, or ENGL  138T‡†",3
Second Year,Spring,General Education Course (GHW),1.5
Third Year,Fall,ERM 411,3
Third Year,Spring,ENGL 202C‡†,3
Third Year,Fall,ASM 327*,3
Third Year,Spring,CED 201,3
Third Year,Fall,GEOSC 303 or  1,3
Third Year,Spring,ERM 300*,3
Third Year,Fall,Ecology Selection,3
Third Year,Spring,Specialization/Minor Course,3
Third Year,Fall,General Education Course,3
Third Year,Spring,Specialization/Minor Course,3
Fourth Year,Fall,ERM 412*,3
Fourth Year,Spring,ERM 413W*,3
Fourth Year,Fall,SOILS 450,3
Fourth Year,Spring,400 Level ERM Course,3
Fourth Year,Fall,400 Level ERM Course,3
Fourth Year,Spring,Communications/Sustainability/Leadership Selection,3
Fourth Year,Fall,Specialization/Minor Course,3
Fourth Year,Spring,Specialization/Minor Course,3
Fourth Year,Fall,Specialization/Minor Course,3
Fourth Year,Spring,Specialization/Minor Course,3
