Year,Semester,Course,Credits
First Year,Fall,"ASIA 3,  100, ASIA 100Z, ASIA  101N, ASIA  102, ASIA  103, ASIA  104, ASIA  105, ASIA  106N, or ASIA  197*",3
First Year,Spring,"ASIA 3,  100, ASIA 100Z, ASIA  101N, ASIA  102, ASIA  103, ASIA  104, ASIA  105, ASIA  106N, or ASIA  197*",3
First Year,Fall,"ENGL 15,  30H, ESL  15, ENGL  137H, or CAS  137H‡",3
First Year,Spring,"CAS 100, ENGL  138T, or CAS  138T",3
First Year,Fall,Asian Language Level 1,4
First Year,Spring,Asian Language Level 2,4
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,First-Year Seminar,3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,Major Course from Supporting Courses and Related Areas List*,3
Second Year,Spring,Asian Language Level 110*,4
Second Year,Fall,Asian Language Level 3,4
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,US Cultures Course,3
Second Year,Fall,BA Knowledge Domain Course,3
Second Year,Spring,BA Knowledge Domain Course,3
Third Year,Fall,ASIA 405Y*,3
Third Year,Spring,Asian Language Level 402,4
Third Year,Fall,General Education Course,3
Third Year,Spring,4XX Level Major Course from Supporting Courses and Related Areas List*,3
Third Year,Fall,General Education Course,3
Third Year,Spring,ENGL 202B‡,3
Third Year,Fall,BA Knowledge Domains Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Asian Language Level 401,4
Third Year,Spring,Elective,3
Fourth Year,Fall,4XX Level Major Course from Supporting Courses and Related Areas List*,3
Fourth Year,Spring,Asian Language Level 404,4
Fourth Year,Fall,Asian Language Level 403,4
Fourth Year,Spring,4XX Level Major Course from Supporting Courses and Related Areas List*,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,2
