Year,Semester,Course,Credits
First Year,Fall,ENGL 15 or  30H*#,3
First Year,Spring,CAS 100A*#†,3
First Year,Fall,MATH 200*#†,3
First Year,Spring,Earth Science Selection*†5,3
First Year,Fall,Biological Science Selection*#†5,3
First Year,Spring,Literature Selection*#†7,3
First Year,Fall,EDTHP 115*#†,3
First Year,Spring,EDPSY 14*#†,3
First Year,Fall,EDUC 100*,1
First Year,Spring,Media Selection*†6,3
Second Year,Fall,Physical Science Selection*†5,3
Second Year,Spring,CI 280*†,3
Second Year,Fall,Writing Selection*†6,3
Second Year,Spring,"STAT 100,  200, or EDPSY  101*#†",3-4
Second Year,Fall,SOC 119N*†,4
Second Year,Spring,CI 295B*#†,3
Second Year,Fall,American Literature Selection*†6,3
Second Year,Spring,HDFS 239*#†,3
Second Year,Fall,Comparative Literature Selection*†6,3
Second Year,Spring,Health and Physical Activity†,1.5
Third Year,Fall,LLED 400*†,3
Third Year,Spring,ENGL 202A or  202B*†,3
Third Year,Fall,LLED 401*†,3
Third Year,Spring,LLED 450*†2 4,3
Third Year,Fall,LLED 402*†,3
Third Year,Spring,SPLED 403A*†,3
Third Year,Fall,SPLED 400*†,4
Third Year,Spring,Mathematics Selection*†,3
Third Year,Fall,Media Selection*†6,3
Third Year,Spring,British Literature Selection*† 6,3
Fourth Year,Fall,MTHED 420*†1,3
Fourth Year,Spring,CI 495D*†3,12
Fourth Year,Fall,SCIED 458*†1,3
Fourth Year,Spring,CI 495F*†3,3
