Year,Semester,Course,Credits
First Year,Fall,MATH 140 (GQ)*‡#†,4
First Year,Spring,MATH 141 (GQ)*‡#†,4
First Year,Fall,STAT 200 (GQ)*†,4
First Year,Spring,MATH 220*†,3
First Year,Fall,STAT 184*,3
First Year,Spring,ECON 104 (GS)†,3
First Year,Fall,PSU 16,1
First Year,Spring,ACCTG 211*,4
First Year,Fall,ECON 102 (GS)†,3
First Year,Spring,General Education Course (GN),3
Second Year,Fall,MATH 230*,4
Second Year,Spring,STAT 414*,3
Second Year,Fall,STAT 300*,3
Second Year,Spring,STAT 400*,3
Second Year,Fall,STAT 380*,3
Second Year,Spring,General Education Course (Inter-Domain),3
Second Year,Fall,CMPSC 131*†,3
Second Year,Spring,FIN 301*,3
Second Year,Fall,ENGL 15 (GWS)‡,3
Second Year,Spring,RM 302*,3
Third Year,Fall,STAT 415*,3
Third Year,Spring,RM 421,3
Third Year,Fall,RM 410*,3
Third Year,Spring,STAT 463*,3
Third Year,Fall,CAS 100 (GWS)‡,3
Third Year,Spring,400-level Advanced Stat,3
Third Year,Fall,US Cultures,3
Third Year,Spring,IL Cultures,3
Third Year,Fall,General Education Course (Exploration),3
Third Year,Spring,General Education Course (GA),3
Fourth Year,Fall,ENGL 202C (GWS)‡,3
Fourth Year,Spring,RM 412 or  422*1,3
Fourth Year,Fall,RM 411*,3
Fourth Year,Spring,STAT 470W*,3
Fourth Year,Fall,RM 422 or  412*1,3
Fourth Year,Spring,STAT 480,1
Fourth Year,Fall,400-level Advanced Stat,3
Fourth Year,Spring,400-level Advanced Stat,3
Fourth Year,Fall,General Education Course (GN),3
Fourth Year,Spring,General Education Course (GH),3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (Inter-Domain),3
