Year,Semester,Course,Credits
First Year,Fall,BIOL 110 (GN)*#†,4
First Year,Spring,"CAS 100A,  100B, or  100C (GWS)‡",3
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,CHEM 111 (GN),1
First Year,Fall,"ENGL 15,  30H, or ESL  15 (GWS)‡",3
First Year,Spring,CHEM 112,3
First Year,Fall,MATH 140 or  140B (GQ)*‡#†,4
First Year,Spring,"Global, Social, and Personal Awareness Course (from Department List)",3
First Year,Fall,PSU 16 (FYS),1
First Year,Spring,Supporting Course (Consult with academic adviser for options),3
Second Year,Fall,CHEM 113,1
Second Year,Spring,"BIOL 220W,  230W,  240W, or  161 and  162",4
Second Year,Fall,"Life, Mathematical, or Physical Science Course",3
Second Year,Spring,"Life, Mathematical, or Physical Science Course",3
Second Year,Fall,Teamwork and Interpersonal Communication Course (from Department List),3
Second Year,Spring,Integrative and Applied Science Course (from Department List),3
Second Year,Fall,Supporting Course (Consult with academic adviser for options),3
Second Year,Spring,General Education Course (GA),3
Third Year,Fall,PHYS 250 or  211 (GN)*#,4
Third Year,Spring,PHYS 251 or  212,4
Third Year,Fall,STAT 250 or  200 (GQ)‡,3-4
Third Year,Spring,"400-Level Life, Mathematical, or Physical Science Course*",3
Third Year,Fall,"Life, Mathematical, or Physical Science Course",3
Third Year,Spring,"ENGL 202C,  202A,  202B, or  202D (GWS)‡",3
Third Year,Fall,General Education Course (Integrative Studies),3
Third Year,Spring,General Education Course (GH),3
Third Year,Fall,Supporting Course (Consult with academic adviser for options),3
Third Year,Spring,Supporting Course (Consult with academic adviser for options),3
Fourth Year,Fall,PHYS 213 (or Supporting Course),2
Fourth Year,Spring,"400-Level Life, Mathematical, or Physical Science Course*",3
Fourth Year,Fall,PHYS 214 (or Supporting Course),2
Fourth Year,Spring,400-Level Supporting Course,3
Fourth Year,Fall,"400-Level Life, Mathematical, or Physical Science Course*",3
Fourth Year,Spring,General Education Course (GHW),3
Fourth Year,Fall,400-Level Supporting Course,3
Fourth Year,Spring,General Education Course (Exploration),3
Fourth Year,Fall,General Education Course (Integrative Studies),3
Fourth Year,Spring,Supporting Course (Consult with academic adviser for options),3
