Year,Semester,Course,Credits
First Year,Fall,BIOL 110†,4
First Year,Spring,CHEM 110†,3
First Year,Fall,MATH 110 or  140*‡†,4
First Year,Spring,CHEM 111†,1
First Year,Fall,"ENGL 15,  30H, or ESL  15‡†",3
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,First-Year Seminar,1-3
First Year,Spring,MATH 111 or  141,2-4
Second Year,Fall,"ANSC 201, BIOL  141 and BIOL  142, or BIOL  446",3-4
Second Year,Spring,PHYS 250,4
Second Year,Fall,BIOL 220W*,4
Second Year,Spring,BIOL 240W,4
Second Year,Fall,CHEM 202,3
Second Year,Spring,"CAS 100, CAS  100A, CAS  100B, or CAS  100C‡†",3
Second Year,Fall,"BIOL 133,  222,  230W, or ANSC  322",3-4
Second Year,Spring,SOILS 101†,3
Second Year,Fall,STAT 240 or STAT 301‡†,3
Second Year,Spring,General Education Course,3
Third Year,Fall,WFS 300*,2
Third Year,Spring,FOR 350 or STAT  460,3
Third Year,Fall,WFS 301*,2
Third Year,Spring,"ENT 425, FOR  470, WFS  422, or WFS  435",3
Third Year,Fall,WFS 310*,3
Third Year,Spring,Wildlife Selection,3
Third Year,Fall,WFS 452,2
Third Year,Spring,ECON 104†,3
Third Year,Fall,"Natural Resource Policy, Planning, Law, Administration (PPLA) and Human Dimensions (HD) Course",3
Third Year,Spring,"Natural Resource Policy, Planning, Law, Administration (PPLA) and Human Dimensions (HD) Course",3
Fourth Year,Fall,WFS 410,3
Fourth Year,Spring,WFS 463W,3
Fourth Year,Fall,WFS 453,2
Fourth Year,Spring,WFS 446,3
Fourth Year,Fall,ENGL 202C‡†,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,"AEE 440, ENGL  416, or ENGL  418",3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,Physical Science Selection,3
Fourth Year,Spring,Elective,3
