Year,Semester,Course,Credits
First Year,Fall,KOR 1*,4
First Year,Spring,KOR 2*,4
First Year,Fall,"ENGL 15,  30H, ESL  15, ENGL  137H, or CAS  137H‡",3
First Year,Spring,"CAS 100, ENGL  138T, or CAS  138T‡",3
First Year,Fall,General Education Course,3
First Year,Spring,Korea related courses from KOR and Beyond Coursework*,3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,First-Year Seminar,3
First Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,KOR 3*,4
Second Year,Spring,KOR 110*,4
Second Year,Fall,KOR 120 or  121*,3
Second Year,Spring,General Education Course,3
Second Year,Fall,BA Knowledge Domains Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,BA Knowledge Domains Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,Elective,3
Third Year,Fall,KOR 401*,4
Third Year,Spring,KOR 402*,4
Third Year,Fall,General Education Course,3
Third Year,Spring,"KOR 450,  451, or  452*",3
Third Year,Fall,General Education Course,3
Third Year,Spring,ENGL 202B‡,3
Third Year,Fall,BA Knowledge Domains Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,KOR 403Y*,4
Fourth Year,Spring,KOR 404*,4
Fourth Year,Fall,"KOR 422,  423,  424,  425, or  498*",3
Fourth Year,Spring,Korea related courses from KOR and Beyond Coursework*,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,2
