Year,Semester,Course,Credits
First Year,Fall,PSU 6,1
First Year,Spring,"MGMT 3011,2",3
First Year,Fall,"MATH 1401,2",4
First Year,Spring,"MATH 1411,2",4
First Year,Fall,"ENGL 15,  30H, ESL  15, ENGL  137H, or CAS  137H1,2",3
First Year,Spring,World Language - Level Three (12th credit level)3,4
First Year,Fall,ECON 102 (GS)2,3
First Year,Spring,"SCM 200 or STAT  2001,2",4
Second Year,Fall,"MKTG 3011,2",3
Second Year,Spring,"FIN 3011,2",3
Second Year,Fall,"ACCTG 2111,2",4
Second Year,Spring,STAT/MATH 4141,3
Second Year,Fall,ECON 104,3
Second Year,Spring,"CAS 100, ENGL  138T, or CAS  138T1",3
Second Year,Fall,MATH 2311,2
Second Year,Spring,MIS 250,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Third Year,Fall,RM 320W1,3
Third Year,Spring,RM 4211,3
Third Year,Fall,RM 4101,3
Third Year,Spring,"STAT 380,  462, or  483",3
Third Year,Fall,BLAW 341 or BA  342,3
Third Year,Spring,BA 342 or BLAW  341,3
Third Year,Fall,STAT/MATH 4151,3
Third Year,Spring,General Education Course,3
Third Year,Fall,ENGL 202D1,3
Third Year,Spring,General Education Course,3
Fourth Year,Fall,RM 4111,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,RM 4301,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,RM 412 or  4221,3
Fourth Year,Fall,BA 411 (or General Education Course),3
Fourth Year,Spring,BA 411 (or General Education Course),3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,Elective,3
