Year,Semester,Course,Credits
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,CMPSC 121 or  1311,3
First Year,Fall,EE 8 or  9 (or First Year Seminar)†,1
First Year,Spring,ECON 102 or  104 (GS)†,3
First Year,Fall,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Spring,EDSGN 100*1,3
First Year,Fall,MATH 140 or  140E (GQ)*‡#†,4
First Year,Spring,MATH 141 or  141E (GQ)*‡#†,4
First Year,Fall,PHYS 211 (PHYS 211L and PHYS 211R (GN))*#†,4
First Year,Spring,PHYS 212 (PHYS 212L and PHYS 212R (GN))*†,4
Second Year,Fall,CMPEN 270 or  271 and  275*,4
Second Year,Spring,CAS 100A or  100B (GWS)‡†,3
Second Year,Fall,CMPSC 122 or  132,3
Second Year,Spring,EE 200,3
Second Year,Fall,EE 210*,4
Second Year,Spring,EE 310*,4
Second Year,Fall,MATH 220,2-3
Second Year,Spring,MATH 230,4
Second Year,Fall,MATH 250*,3
Second Year,Spring,PHYS 214,2
Third Year,Fall,EE 330*,4
Third Year,Spring,EE 300W (Writing Intensive)†,3
Third Year,Fall,EE 340*,4
Third Year,Spring,ENGL 202C (GWS)‡†,3
Third Year,Fall,EE 350*,4
Third Year,Spring,EE/CMPEN 300-Level Elective,3
Third Year,Fall,General Education Course†,3
Third Year,Spring,EE/CMPEN 300-Level Elective,3
Third Year,Fall,General Education Course (GHW)†,1.5
Third Year,Spring,General Education Course†,3
Fourth Year,Fall,EE 403W,3
Fourth Year,Spring,EE/CMPEN 400-Level Elective,3
Fourth Year,Fall,EE/CMPEN 300/400-Level Elective,3
Fourth Year,Spring,EE/CMPEN 400-Level Elective,3
Fourth Year,Fall,Related Elective,3
Fourth Year,Spring,Related Elective,3
Fourth Year,Fall,Statistics Elective,3
Fourth Year,Spring,General Education Course†,3
Fourth Year,Fall,General Education Course†,3
Fourth Year,Spring,General Education Course†,3
